ds,yhat
2024-09-30,224.66
2024-10-01,224.66
2024-10-02,224.6
2024-10-03,224.52
2024-10-04,224.65
2024-10-07,224.72
2024-10-08,224.68
2024-10-09,224.61
2024-10-10,224.53
2024-10-11,224.68
2024-10-14,224.94
2024-10-15,224.99
2024-10-16,225.02
2024-10-17,225.06
2024-10-18,225.33
2024-10-21,225.93
2024-10-22,226.08
2024-10-23,226.2
2024-10-24,226.31
2024-10-25,226.63
2024-10-28,227.26
2024-10-29,227.38
2024-10-30,227.44
2024-10-31,227.47
2024-11-01,227.7
2024-11-04,227.95
2024-11-05,228.37
2024-11-06,228.74
2024-11-07,229.07
2024-11-08,229.61
2024-11-11,230.85
2024-11-12,231.19
2024-11-13,231.49
2024-11-14,231.78
2024-11-15,232.29
2024-11-18,233.6
2024-11-19,233.99
2024-11-20,234.37
2024-11-21,234.75
2024-11-22,235.37
2024-11-25,237.01
2024-11-26,237.51
2024-11-27,237.98
2024-11-29,239.11
2024-12-02,240.8
2024-12-03,241.26
2024-12-04,241.66
2024-12-05,242.02
2024-12-06,242.57
2024-12-09,243.69
2024-12-10,243.91
2024-12-11,244.06
2024-12-12,244.15
2024-12-13,244.4
2024-12-16,244.6
2024-12-17,244.51
2024-12-18,244.35
2024-12-19,244.13
2024-12-20,244.1
2024-12-23,243.49
2024-12-24,243.17
2024-12-26,242.38
2024-12-27,242.16
2024-12-30,241.15
2024-12-31,240.73
2025-01-02,239.8
2025-01-03,239.55
2025-01-06,238.52
2025-01-07,238.13
2025-01-08,237.72
2025-01-10,237.14
2025-01-13,236.46
2025-01-14,236.23
2025-01-15,235.98
2025-01-16,235.76
2025-01-17,235.8
2025-01-21,235.84
2025-01-22,235.86
2025-01-23,235.9
2025-01-24,236.19
2025-01-27,236.96
2025-01-28,237.2
2025-01-29,237.41
2025-01-30,237.62
2025-01-31,238.05
2025-02-03,238.97
2025-02-04,239.16
2025-02-05,239.28
2025-02-06,239.34
2025-02-07,239.57
2025-02-10,239.59
2025-02-11,239.39
2025-02-12,239.08
2025-02-13,238.68
2025-02-14,238.42
2025-02-18,236.15
2025-02-19,235.33
2025-02-20,234.44
2025-02-21,233.72
2025-02-24,231.06
2025-02-25,230.07
2025-02-26,229.04
2025-02-27,228.0
2025-02-28,227.2
2025-03-03,224.69
2025-03-04,223.86
2025-03-05,223.06
2025-03-06,222.3
2025-03-07,221.81
2025-03-10,220.4
2025-03-11,219.97
2025-03-12,219.55
2025-03-13,219.17
2025-03-14,219.04
2025-03-17,218.51
2025-03-18,218.29
2025-03-19,218.04
2025-03-20,217.76
2025-03-21,217.69
2025-03-24,217.01
2025-03-25,216.65
2025-03-26,216.22
2025-03-27,215.73
2025-03-28,215.41
2025-03-31,213.95
2025-04-01,213.33
2025-04-02,212.64
2025-04-03,211.93
2025-04-04,211.42
2025-04-07,209.58
2025-04-08,208.92
2025-04-09,208.25
2025-04-10,207.6
2025-04-11,207.19
2025-04-14,205.92
2025-04-15,205.52
2025-04-16,205.13
2025-04-17,204.77
2025-04-21,204.32
2025-04-22,204.2
2025-04-23,204.06
2025-04-24,203.93
2025-04-25,204.03
2025-04-28,204.04
2025-04-29,203.96
2025-04-30,203.83
2025-05-01,203.67
2025-05-02,203.7
2025-05-05,203.34
2025-05-06,203.11
2025-05-07,202.81
2025-05-08,202.48
2025-05-09,202.34
2025-05-12,201.58
2025-05-13,201.25
2025-05-14,200.89
2025-05-15,200.52
2025-05-16,200.39
2025-05-19,199.81
2025-05-20,199.6
2025-05-21,199.39
2025-05-22,199.19
2025-05-23,199.25
2025-05-27,199.3
2025-05-28,199.29
2025-05-29,199.29
2025-05-30,199.53
2025-06-02,199.99
2025-06-03,200.08
2025-06-04,200.14
2025-06-05,200.18
2025-06-06,200.43
2025-06-09,200.85
2025-06-10,200.91
2025-06-11,200.93
2025-06-12,200.93
2025-06-13,201.15
2025-06-16,201.54
2025-06-17,201.63
2025-06-18,201.7
2025-06-20,202.12
2025-06-23,202.99
2025-06-24,203.29
2025-06-25,203.59
2025-06-26,203.91
2025-06-27,204.48
2025-06-30,206.09
2025-07-01,206.6
2025-07-02,207.1
2025-07-03,207.59
2025-07-07,210.1
2025-07-08,210.6
2025-07-09,211.03
2025-07-10,211.42
2025-07-11,211.98
2025-07-14,213.13
2025-07-15,213.35
2025-07-16,213.5
2025-07-17,213.58
2025-07-18,213.85
2025-07-21,214.17
2025-07-22,214.16
2025-07-23,214.11
2025-07-24,214.05
2025-07-25,214.2
2025-07-28,214.5
2025-07-29,214.59
2025-07-30,214.69
2025-07-31,214.83
2025-08-01,215.24
2025-08-04,216.5
2025-08-05,216.97
2025-08-06,217.46
2025-08-07,217.99
2025-08-08,218.79
2025-08-11,221.14
2025-08-12,221.92
2025-08-13,222.69
2025-08-14,223.45
2025-08-15,224.43
2025-08-18,227.04
2025-08-19,227.8
2025-08-20,228.51
2025-08-21,229.16
2025-08-22,230.0
2025-08-25,231.98
2025-08-26,232.49
2025-08-27,232.93
2025-08-28,233.32
2025-08-29,233.9
2025-09-02,235.51
2025-09-03,235.79
2025-09-04,236.05
2025-09-05,236.54
2025-09-08,237.74
2025-09-09,238.09
2025-09-10,238.44
2025-09-11,238.79
2025-09-12,239.38
2025-09-15,240.97
2025-09-16,241.47
2025-09-17,241.96
2025-09-18,242.43
2025-09-19,243.14
2025-09-22,244.98
2025-09-23,245.52
2025-09-24,246.02
2025-09-25,246.5
2025-09-26,247.18
2025-09-29,248.85
2025-09-30,249.31
2025-10-01,249.72
2025-10-02,250.1
2025-10-03,250.69
2025-10-06,252.12
2025-10-07,252.53
2025-10-08,252.9
2025-10-09,253.26
2025-10-10,253.85
2025-10-13,255.39
2025-10-14,255.87
2025-10-15,256.33
2025-10-16,256.8
2025-10-17,257.5
2025-10-20,259.4
2025-10-21,259.98
2025-10-22,260.55
2025-10-23,261.11
2025-10-24,261.88
2025-10-27,263.89
2025-10-28,264.48
2025-10-29,265.01
2025-10-30,265.52
2025-10-31,266.22
2025-11-03,267.9
2025-11-04,268.35
2025-11-05,268.74
2025-11-06,269.1
2025-11-07,269.66
2025-11-08,273.5
2025-11-09,273.9
